iter	RMSE
0	3.328333694
1	3.049001431
2	2.824029046
3	2.645646933
4	2.501533943
5	2.388848163
6	2.300844681
7	2.23138968
8	2.177645636
9	2.135310604
10	2.102458849
11	2.077807789
12	2.058127971
13	2.041784209
14	2.028772681
15	2.017025022
16	2.007686286
17	2.000900786
18	1.994814042
19	1.990892769
20	1.986419126
21	1.98252392
22	1.979121611
23	1.976848795
24	1.974774687
25	1.971472435
26	1.970120257
27	1.967910939
28	1.96522086
29	1.964263536
30	1.9631332
31	1.961218883
32	1.959800406
33	1.959148156
34	1.957506608
35	1.956798208
36	1.955507583
37	1.954750824
38	1.952797752
39	1.9517859
40	1.950726214
41	1.949811108
42	1.949233334
43	1.94838876
44	1.947987563
45	1.947576139
46	1.946975764
47	1.946620288
48	1.946022779
49	1.945162821
50	1.944395159
51	1.943852418
52	1.943182455
53	1.941874128
54	1.941525275
55	1.940020862
56	1.939586824
57	1.938726757
58	1.937949281
59	1.937544152
60	1.937053855
61	1.9362886
62	1.934980687
63	1.934498669
64	1.933951499
65	1.933581451
66	1.932903827
67	1.932594986
68	1.932196695
69	1.930938952
70	1.930317773
71	1.930027154
72	1.929682781
73	1.929286219
74	1.928804987
75	1.928460886
76	1.928030567
77	1.927412256
78	1.926210358
79	1.925891843
80	1.925665256
81	1.924711802
82	1.924480342
83	1.924183616
84	1.923876204
85	1.923049718
86	1.922545138
87	1.922306771
88	1.922192839
89	1.921371663
90	1.921251579
91	1.920911854
92	1.920514713
93	1.919551057
94	1.919325448
95	1.918986369
96	1.918712534
97	1.918364958
98	1.917654007
99	1.917377945
100	1.917075058
101	1.916541928
102	1.916166728
103	1.915957208
104	1.915497088
105	1.915264762
106	1.914678355
107	1.914068279
108	1.913863105
109	1.913761406
110	1.913434388
111	1.913041385
112	1.912847296
113	1.912415567
114	1.911750121
115	1.911402579
116	1.910826256
117	1.909806664
118	1.90958864
119	1.909286934
120	1.90910802
121	1.908674825
122	1.908138914
123	1.907781349
124	1.907477869
125	1.907190408
126	1.906957939
127	1.906751131
128	1.906573406
129	1.906239258
130	1.906012508
131	1.905632068
132	1.905485906
133	1.90530086
134	1.904555897
135	1.90419536
136	1.903808405
137	1.903308608
138	1.90308897
139	1.902846921
140	1.902593835
141	1.902213147
142	1.901945419
143	1.901553837
144	1.901256084
145	1.900679735
146	1.90045861
147	1.899921066
148	1.899646973
149	1.899363311
150	1.898927706
151	1.898637767
152	1.898004582
153	1.8977559
154	1.897635194
155	1.897467029
156	1.89688379
157	1.896522044
158	1.896005163
159	1.895785614
160	1.895666094
161	1.895344131
162	1.895037285
163	1.8947332
164	1.89424625
165	1.893973835
166	1.893581792
167	1.893475755
168	1.893361712
169	1.893056796
170	1.892576853
171	1.892328646
172	1.892237608
173	1.892081594
174	1.891923004
175	1.89159221
176	1.891380469
177	1.891110895
178	1.890950471
179	1.890681274
180	1.890408033
181	1.890172435
182	1.889735088
183	1.889311166
184	1.889186476
185	1.888928052
186	1.888661824
187	1.888344619
188	1.888157015
189	1.887868493
190	1.887826627
191	1.887439513
192	1.887102792
193	1.886810158
194	1.886405022
195	1.885917113
196	1.885647009
197	1.885540087
198	1.88543322
199	1.885181876
200	1.884972365
201	1.884778713
