iter	Passed	Remaining
0	57	228530
1	115	231762
2	171	228498
3	226	226624
4	281	225176
5	337	224502
6	386	220648
7	441	220260
8	496	219987
9	552	220461
10	607	220433
11	666	221361
12	719	220796
13	769	219158
14	819	217723
15	876	218325
16	939	220024
17	994	220026
18	1046	219258
19	1099	218862
20	1155	218875
21	1213	219505
22	1273	220131
23	1330	220390
24	1383	219989
25	1441	220335
26	1490	219303
27	1546	219381
28	1600	219226
29	1656	219151
30	1712	219197
31	1768	219237
32	1816	218386
33	1863	217418
34	1921	217653
35	1974	217368
36	2029	217337
37	2087	217681
38	2148	218234
39	2200	217830
40	2255	217784
41	2303	217113
42	2351	216370
43	2406	216375
44	2457	215946
45	2509	215666
46	2557	215069
47	2604	214409
48	2652	213884
49	2699	213232
50	2755	213330
51	2804	212891
52	2852	212417
53	2912	212842
54	2964	212624
55	3018	212599
56	3068	212238
57	3124	212377
58	3193	213343
59	3247	213256
60	3300	213104
61	3357	213262
62	3412	213249
63	3463	212993
64	3513	212727
65	3566	212581
66	3614	212157
67	3666	212019
68	3714	211591
69	3769	211633
70	3815	211130
71	3863	210785
72	3914	210582
73	3961	210170
74	4009	209842
75	4059	209589
76	4106	209224
77	4156	208997
78	4217	209306
79	4269	209227
80	4321	209092
81	4379	209263
82	4438	209481
83	4495	209569
84	4550	209569
85	4612	209917
86	4668	209953
87	4718	209742
88	4772	209736
89	4838	210216
90	4886	209888
91	4930	209457
92	4980	209247
93	5041	209500
94	5093	209389
95	5149	209422
96	5208	209581
97	5263	209577
98	5321	209689
99	5369	209414
100	5422	209326
101	5471	209079
102	5516	208733
103	5567	208555
104	5621	208513
105	5666	208158
106	5728	208417
107	5780	208328
108	5835	208296
109	5883	208075
110	5936	207996
111	5985	207793
112	6031	207477
113	6077	207160
114	6127	207012
115	6180	206950
116	6235	206941
117	6291	206964
118	6338	206733
119	6390	206622
120	6437	206367
121	6487	206206
122	6544	206270
123	6593	206112
124	6643	205958
125	6689	205677
126	6743	205658
127	6792	205468
128	6841	205301
129	6888	205057
130	6935	204824
131	6996	205029
132	7046	204872
133	7099	204829
